"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"210081_at",-4.41746953099296,9.48229621814019,-21.4864384363449,7.00048432640373e-41,2.2284541749322e-37,82.5858433255392,"AGER","advanced glycosylation end-product specific receptor"
"214387_x_at",-4.04717917931808,12.0242332291215,-13.8561756484467,9.58127943430976e-26,8.66968225474491e-24,48.0059140218187,"SFTPC","surfactant protein C"
"211735_x_at",-4.00203470332442,12.2994402916168,-13.7037368060607,2.06424355387372e-25,1.72275427381903e-23,47.2427172559651,"SFTPC","surfactant protein C"
"205982_x_at",-3.99511995013758,12.2312683503832,-13.9879242145361,4.9451348857401e-26,4.74967416633391e-24,48.6635634484765,"SFTPC","surfactant protein C"
"215454_x_at",-3.98982156871534,8.78325574483178,-18.9401492323097,3.51595828974106e-36,1.780593149325e-33,71.8697684261696,"SFTPC","surfactant protein C"
"203980_at",-3.83854131283955,8.89436546376636,-20.2110919060111,1.43342548808673e-38,1.25082382426407e-35,77.3208312115899,"FABP4","fatty acid binding protein 4"
"210096_at",-3.70979639890535,8.73107169243925,-13.8955288954549,7.86213144054026e-26,7.40635316493552e-24,48.2025457182388,"CYP4B1","cytochrome P450 family 4 subfamily B member 1"
"204712_at",-3.68670950540253,7.94185761851402,-13.8347235733507,1.06725799560679e-25,9.53592572489765e-24,47.8986585744199,"WIF1","Wnt inhibitory factor 1"
"209613_s_at",-3.67846726540922,8.47307994503738,-15.2245826460257,1.09285169830079e-28,1.50321076501461e-26,54.7424414765041,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"219230_at",-3.57031273310556,8.5036511825514,-15.689002085673,1.15141031098837e-29,1.79418713005271e-27,56.9788598187839,"TMEM100","transmembrane protein 100"
"205866_at",-3.50309888188599,9.58054525283178,-17.1136654196898,1.36461853252172e-32,3.26965535055716e-30,63.6713356168015,"FCN3","ficolin 3"
"214135_at",-3.44641165224665,10.0970032851215,-17.0576474764409,1.77005087617695e-32,4.15179407093169e-30,63.4130713737041,"CLDN18","claudin 18"
"205200_at",-3.41185349805841,8.90118764742991,-21.3399695531653,1.27714023624306e-40,2.58713780765492e-37,81.9914215154944,"CLEC3B","C-type lectin domain family 3 member B"
"205200_at",-3.41185349805841,8.90118764742991,-21.3399695531653,1.27714023624306e-40,2.58713780765492e-37,81.9914215154944,"EXOSC7","exosome component 7"
"209074_s_at",-3.37179857065763,8.99517867345794,-24.0140161015568,3.23063495925323e-45,7.19882387970397e-41,92.4400697813284,"FAM107A","family with sequence similarity 107 member A"
"209612_s_at",-3.34690475788706,9.44276786326168,-15.9488713259625,3.30606600812289e-30,5.62359304267193e-28,58.2186992282685,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"204273_at",-3.16126027764427,6.83445309162617,-20.8948979853734,8.06336783519538e-40,1.12297515919787e-36,80.1689480491661,"EDNRB","endothelin receptor type B"
